Article Number,Type,Summary
1,Ground Truth,objectivetaspoglutide is long acting glucagon like peptide one receptor agonist developed for treatment of type two diabetes the efficacy and safety of once weekly taspoglutide was compared with twice daily exenatide research design and methodsoverweight adults with inadequately controlled type two diabetes on metformin thiazolidinedione were randomized to subcutaneous taspoglutide ten mg weekly taspoglutide twenty mg weekly or exenatide ten twice daily in an open label multicenter trial the primary end point was change in hba after twenty four weeks resultsmean baseline hba was eight one both doses of taspoglutide reduced hba significantly more than exenatide both taspoglutide doses reduced fasting plasma glucose significantly more than exenatide taspoglutide reduced body weight as did exenatide which was greater than with taspoglutide ten mg hba and weight effects were maintained after fifty two weeks more adverse events with taspoglutide ten and twenty mg than exenatide developed over time allergic and injection site reactions were more common with taspoglutide discontinuations were greater with taspoglutide antitaspoglutide antibodies were detected in forty nine of patients conclusionsonce weekly taspoglutide demonstrated greater glycemic control than twice daily exenatide with comparable weight loss but with unacceptable levels of nausea vomiting injection site reactions and systemic allergic reactions
1,Baseline Summary,eligible participants one thousand eight hundred seventy five years age type two diabetes hba seven ten bmi twenty five kg forty five kg receiving stable dose antihyperglycemic medication three months prior screening key exclusion criteria advanced diabetes complications gastrointestinal disease previous bariatric surgery pancreatitis cardiovascular disease previous exposure glp one receptor agonists trial conducted accordance declaration helsinki national regulations protocol approved local independent ethics committees institutional review boards emerge two randomized open label active comparator parallel group phase three trial twenty four week core phase twenty eight week extension phase optional one hundred four week long term extension phase trial conducted one hundred eighty nine sites twenty three countries participants randomly assigned receive subcutaneous injections taspoglutide ten mg weekly taspoglutide ten mg weekly initial four weeks followed twenty mg weekly exenatide f
1,GPT-2 Summary,"This study offers a potential new approach for treatment of type 2 diabetes that reduces both progression of disease and adverse patient responses with a stable, low-cost regimen of beta cells; is likely to result in substantial advances for researchers looking to study the safety and efficacy of beta cell replacement therapy; and has several important prerequisites to qualify as a study.
I will discuss the major findings and discuss a few potential ways in which this study may go about getting this Phase III study off of the ground.
TL;DR: In the future, it appears that beta cells replaced allogeneic blood cells in patients with type 2 diabetes could lead to an increase in remission levels.
This study aims to find out what it takes to achieve this result – this study will help determine if this approach will deliver a significant breakthrough for patients.
To do this study, we need to assess the safety of beta cells; the need for ongoing studies and follow-up; and, also, whether the trial should go ahead and determine the clinical trial participants have been previously exposed to beta cells or not; any potential concerns associated with the trial, and how this study may impact them and others who may ultimately enroll in the trial.
TL;DR: The current study will allow researchers to find out if beta cells can be used for the first time in patients with type 2 diabetes without adding to the risk to patients.
TL;DR2: Although I have included all the required components of a large population trial, this study will focus on determining the feasibility in conducting one in human patients.
This is an important research question for me and many other investigators pursuing this approach of using beta cells for the treatment of type 2 diabetes.
The trial design described here will give researchers a foundation"
1,Separator,--------------------------------------------------------------------------------
2,Ground Truth,pancreatic cancer is one of the most aggressive drug resistant and lethal types of cancer with poor prognosis various factors including reactive oxygen species cytokines growth factors and extracellular matrix proteins are reported to be involved in the development of pancreatic cancer however the pathogenesis of pancreatic cancer has not been completely elucidated oxidative stress has been shown to contribute to the development of pancreatic cancer evidences supporting the role of reactive oxygen species and cytokines as risk for pancreatic cancer and the concept of antioxidant supplementation as preventive approach for pancreatic cancer have been proposed here we review the literature on oxidative stress cytokine expression inflammatory signaling and natural antioxidant supplementation in relation to pancreatic cancer
2,Baseline Summary,reactive oxygen species cytokines considered important factors pathogenesis pancreatic cancer one two source ros nicotinamide adenine dinucleotide phosphate oxidase involved pancreatic cancer development three ros activate signaling pathways mediated mitogen activated protein kinases nf janus kinase signal transducer activator transcription forty eight inhibits cancer cell apoptosis induces cytokine expression epithelial mesenchymal transition ten eleven high levels fibronectin laminin ten eleven cytokines fourteen observed pancreatic cancer growth factors fourteen extracellular matrix proteins ten cytokines one thousand four hundred seventeen shown activate nox pathogenesis pancreatic cancer development bioactive compounds curcumin genistein resveratrol antioxidant antitumor activities pancreatic cancer briefly review role ros cytokines pathogenesis pancreatic cancer addition bioactive compounds may prevent development pancreatic cancer also discussed since ros pro inflammatory cytoki
2,GPT-2 Summary,"A quick summary of the biological and toxicological observations with and without ros cytokines in pancreatic cancer, and a discussion of each one.
Gastrointestinal Toxicity To date two of the most frequently reported clinical complications of pancreatic cancer are nausea, vomiting, and diarrhea.
Although patients with the first two of these complaints may benefit from conventional chemotherapy or radiation, the latter two are associated with cancer recurrence.
The other three most commonly reported complications occur with esophageal carcinoma.
In the first two categories, patients experience diarrhea, nausea, or a persistent nausea, and may require surgical excision and an intestinal biopsy (or both depending on the disease).
If surgical excision is not done to resolve the problem, chemotherapy may also result.
However, given the high incidence of esophageal cancer, these patients should be treated with appropriate dietary and therapeutic guidelines.
The most common of these is diet, which is based on fiber (the macronutrient found in wheat and some legumes).
The second most common is surgical excision and biopsy (to remove the esophagus), as discussed in a previous article on this page.
Other Pathogens (Toxic Toxicity) Toxins often occur in their earliest stages in the intestine.
These include viruses, bacteria, and other pathogens.
The presence of these invaders, often termed ""microorganisms,"" has two major outcomes: the host's ability to fight these pathogens, or inability to destroy these invaders entirely.
Antiviral therapies can provide a small percentage of the time these invaders are destroyed, and may require frequent rechallenge after"
2,Separator,--------------------------------------------------------------------------------
3,Ground Truth,plasmacytoma is plasma cell neoplasm that locally infiltrates bone or spreads to extramedullary areas new world health organization criterion defines solitary plasmacytoma of bone as localized bone tumor consisting of plasma cells identical to those seen in plasma cell myeloma which is manifested as solitary osteolytic lesion in radiological evaluation primary tumors of the sternum are generally malignant and solitary plasmacytomas of the sternum are very rare tumors we present herein the case of patient who had primary sternal tumor with solitary plasmacytoma and no evidence of multiple myeloma
3,Baseline Summary,sixty two year old female patient referred regional hospital department thoracic cardiovascular surgery mass sternum presentation patient disease hypertension received calcium channel blocker therapy hypertension regional hospital three years prior presentation blood pressure well controlled housewife occupation specific family history cancer blood pressure one hundred eighteen seventy two mmhg pulse rate sixty four beats min respiratory rate sixteen min body temperature thirty six seven physical examination revealed bulging mass mid sternum mild tenderness around mass laboratory tests revealed white blood cell seven eight hundred hemoglobin thirteen two dl however initial laboratory test results noted within normal range chest computed tomography revealed sternal mass forty four cm size containing osteoclastic lesion body sternum evaluation using whole body bone scintigraphy revealed focus mild increased uptake sternum bone soft tissue ratio two thirty four one evidence hot uptake les
